PANDA -- facet enumeration with adjacency decomposition
Warning: validity of input vertices cannot be verified for reduced input.
Reduced Inequalities:
x0 -x3 +x4 -x7 +x10 -x11 +x14 -x15 +x17 -x19 +x21 -x23 +x28 -x30 +x36 -x38 +x44 -x50 +x52 -x58 +x60 -x64 +x68 -x72 +x76 <= 1
Processing #1 of at least 1 class
x0 -x3 +x4 -x7 +x8 +x12 +x17 -x19 +x21 -x23 +x28 -x30 +x36 -x38 +x44 -x46 -x54 -x64 +x68 -x72 +x76 <= 1
Processing #2 of at least 2 classes
Fourier-Motzkin Elimination step 3609 / 3450112: 4400
Fourier-Motzkin Elimination step 4061 / 2304896: 7166
Fourier-Motzkin Elimination step 3610 / 3450112: 4464
Fourier-Motzkin Elimination step 4062 / 2304896: 7168
Fourier-Motzkin Elimination step 3612 / 3450112: 4422
Fourier-Motzkin Elimination step 4063 / 2304896: 7001
Fourier-Motzkin Elimination step 4064 / 2304896: 6663
Fourier-Motzkin Elimination step 3614 / 3450112: 4329
Fourier-Motzkin Elimination step 4065 / 2304896: 6509
Fourier-Motzkin Elimination step 3616 / 3450112: 4072
Fourier-Motzkin Elimination step 4066 / 2304896: 6256
Fourier-Motzkin Elimination step 4067 / 2304896: 5913
Fourier-Motzkin Elimination step 4070 / 2304896: 5314
Fourier-Motzkin Elimination step 3625 / 3450112: 3402
Fourier-Motzkin Elimination step 4074 / 2304896: 4629
Fourier-Motzkin Elimination step 3627 / 3450112: 3212
Fourier-Motzkin Elimination step 3628 / 3450112: 3724
Fourier-Motzkin Elimination step 3629 / 3450112: 2361
Fourier-Motzkin Elimination step 4182 / 2304896: 7434
Fourier-Motzkin Elimination step 3740 / 3450112: 4731
Fourier-Motzkin Elimination step 4183 / 2304896: 7535
Fourier-Motzkin Elimination step 3741 / 3450112: 5004
Fourier-Motzkin Elimination step 4184 / 2304896: 7636
Fourier-Motzkin Elimination step 3742 / 3450112: 4682
Fourier-Motzkin Elimination step 4185 / 2304896: 7778
Fourier-Motzkin Elimination step 4186 / 2304896: 7920
Fourier-Motzkin Elimination step 4187 / 2304896: 8009
Fourier-Motzkin Elimination step 4188 / 2304896: 8235
Fourier-Motzkin Elimination step 3748 / 3450112: 4996
Fourier-Motzkin Elimination step 4189 / 2304896: 8719
Fourier-Motzkin Elimination step 3749 / 3450112: 5092
Fourier-Motzkin Elimination step 4190 / 2304896: 8242
Fourier-Motzkin Elimination step 3750 / 3450112: 5139
Fourier-Motzkin Elimination step 4191 / 2304896: 8291
Fourier-Motzkin Elimination step 3751 / 3450112: 5264
Fourier-Motzkin Elimination step 4192 / 2304896: 8340
Fourier-Motzkin Elimination step 3752 / 3450112: 5276
Fourier-Motzkin Elimination step 4193 / 2304896: 8531
Fourier-Motzkin Elimination step 4194 / 2304896: 8515
Fourier-Motzkin Elimination step 3755 / 3450112: 5489
Fourier-Motzkin Elimination step 4195 / 2304896: 8678
